,title,year_publication
0,citizen kane,1941
1,vertigo,1958
2,2001: a space odyssey,1968
3,tokyo story,1953
4,the rules of the game,1939
5,the godfather,1972
6,8½,1963
7,sunrise,1927
8,the searchers,1956
9,seven samurai,1954
10,singin' in the rain,1952
11,"jeanne dielman, 23 quai du commerce, 1080 bruxelles",1975
12,apocalypse now,1979
13,bicycle thieves,1948
14,taxi driver,1976
15,persona,1966
16,the passion of joan of arc,1928
17,breathless,1960
18,in the mood for love,2000
19,battleship potemkin,1925
20,l'atalante,1934
21,the man with a movie camera,1929
22,mirror,1975
23,rashomon,1950
24,city lights,1931
25,psycho,1960
26,the 400 blows,1959
27,andrei rublev,1966
28,au hasard balthazar,1966
29,some like it hot,1959
30,the godfather part ii,1974
31,la dolce vita,1960
32,mulholland dr.,2001
33,ordet,1955
34,raging bull,1980
35,the night of the hunter,1955
36,l'avventura,1960
37,rear window,1954
38,playtime,1967
39,sunset blvd.,1950
40,touch of evil,1958
41,casablanca,1942
42,pather panchali,1955
43,contempt,1963
44,barry lyndon,1975
45,stalker,1979
46,blade runner,1982
47,close-up,1990
48,lawrence of arabia,1962
49,the general,1926
50,beau travail,1999
51,modern times,1936
52,m,1931
53,the third man,1949
54,late spring,1949
55,north by northwest,1959
56,ugetsu monogatari,1953
57,the battle of algiers,1966
58,the apartment,1960
59,la grande illusion,1937
60,wild strawberries,1957
61,fanny and alexander,1982
62,rio bravo,1959
63,goodfellas,1990
64,shoah,1985
65,pierrot le fou,1965
66,journey to italy,1954
67,metropolis,1927
68,dr. strangelove or: how i learned to stop worrying and love the bomb,1964
69,once upon a time in the west,1968
70,chinatown,1974
71,la strada,1954
72,les enfants du paradis,1945
73,do the right thing,1989
74,the leopard,1963
75,amarcord,1973
76,a woman under the influence,1974
77,a man escaped,1956
78,the seventh seal,1957
79,pulp fiction,1994
80,the wild bunch,1969
81,it's a wonderful life,1946
82,sansho the bailiff,1954
83,the conformist,1970
84,the magnificent ambersons,1942
85,viridiana,1961
86,blue velvet,1986
87,pickpocket,1959
88,nashville,1975
89,the shining,1980
90,gertrud,1964
91,the gold rush,1925
92,the man who shot liberty valance,1962
93,jaws,1975
94,la jetée,1962
95,jules et jim,1962
96,cléo from 5 to 7,1962
97,sans soleil,1983
98,meshes of the afternoon,1943
99,to be or not to be,1942
100,madame de...,1953
101,sátántangó,1994
102,sherlock jr.,1924
103,a clockwork orange,1971
104,fear eats the soul,1974
105,last year at marienbad,1961
106,the mother and the whore,1973
107,"aguirre, the wrath of god",1972
108,ikiru,1952
109,a brighter summer day,1991
110,annie hall,1977
111,greed,1924
112,the spirit of the beehive,1973
113,once upon a time in america,1984
114,come and see,1985
115,the piano,1993
116,hiroshima mon amour,1959
117,yi yi,2000
118,the wizard of oz,1939
119,the red shoes,1948
120,intolerance,1916
121,don't look now,1973
122,blow-up,1966
123,bringing up baby,1938
124,l'eclisse,1962
125,a matter of life and death,1946
126,letter from an unknown woman,1948
127,a day in the country,1936
128,vivre sa vie,1962
129,notorious,1946
130,imitation of life,1959
131,alien,1979
132,histoire(s) du cinéma,1988
133,all about eve,1950
134,my darling clementine,1946
135,the exterminating angel,1962
136,the gospel according to st. matthew,1964
137,los olvidados,1950
138,his girl friday,1940
139,spirited away,2001
140,daisies,1966
141,killer of sheep,1977
142,céline and julie go boating,1974
143,un chien andalou,1928
144,gone with the wind,1939
145,nosferatu,1922
146,e.t. the extra-terrestrial,1982
147,"rome, open city",1945
148,the umbrellas of cherbourg,1964
149,trouble in paradise,1932
150,the conversation,1974
151,l'argent,1983
152,"the good, the bad and the ugly",1966
153,days of heaven,1978
154,one flew over the cuckoo's nest,1975
155,my neighbour totoro,1988
156,wanda,1970
157,manhattan,1979
158,chungking express,1994
