,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
0,citizen kane,1941,839727,23218000.0,119.0,"[9648, 18]",en,18.681,15,8.019,4851.0
1,vertigo,1958,2479000,7797728.0,128.0,"[9648, 10749, 53]",en,30.818,426,8.191,5053.0
2,2001: a space odyssey,1968,12000000,71923560.0,149.0,"[878, 9648, 12]",en,38.672,62,8.085,10192.0
3,the rules of the game,1939,8847685,0.0,106.0,"[18, 35, 10749]",fr,11.757,776,7.592,479.0
4,the godfather,1972,6000000,245066411.0,175.0,"[18, 80]",en,95.565,238,8.713,17885.0
5,the searchers,1956,3750000,0.0,119.0,[37],en,20.134,3114,7.749,1174.0
6,seven samurai,1954,2000000,346300.0,207.0,"[28, 18]",ja,28.001,346,8.459,3039.0
7,singin' in the rain,1952,2540800,7200000.0,103.0,"[35, 10402, 10749, 18]",en,17.637,872,8.166,2737.0
8,"jeanne dielman, 23 quai du commerce, 1080 bruxelles",1975,120000,0.0,202.0,[18],fr,12.722,44012,7.4,214.0
9,apocalypse now,1979,31500000,150000000.0,147.0,"[18, 10752]",en,26.448,28,8.282,7201.0
10,bicycle thieves,1948,133000,436655.0,89.0,[18],it,13.794,5156,8.235,2057.0
11,taxi driver,1976,1300000,28570902.0,114.0,"[80, 18]",en,40.347,103,8.166,10609.0
12,breathless,1960,7500000,19910002.0,100.0,"[10749, 18, 28]",en,11.433,1058,5.862,207.0
13,in the mood for love,2000,150000,12854953.0,99.0,"[18, 10749]",cn,28.532,843,8.116,2194.0
14,city lights,1931,1500000,4250000.0,87.0,"[35, 10749, 18]",en,14.52,901,8.337,1860.0
15,psycho,1960,806947,0.0,109.0,"[27, 18, 53]",en,36.934,539,8.444,8943.0
16,some like it hot,1959,2883848,25000000.0,122.0,"[35, 10402, 10749, 80]",en,23.464,239,8.12,3029.0
17,the godfather part ii,1974,13000000,102600000.0,202.0,"[18, 80]",en,42.746,240,8.598,10809.0
18,raging bull,1980,18000000,23000000.0,129.0,"[18, 36]",en,23.045,1578,7.97,3726.0
19,the night of the hunter,1955,795000,0.0,93.0,"[80, 18, 53]",en,11.657,3112,7.874,1306.0
20,rear window,1954,1000000,37034514.0,112.0,"[53, 9648]",en,28.246,567,8.359,5678.0
21,touch of evil,1958,829000,2247500.0,111.0,"[80, 53, 9648]",en,13.836,1480,7.772,1232.0
22,casablanca,1942,878000,10462500.0,102.0,"[18, 10749]",en,24.162,289,8.172,4710.0
23,barry lyndon,1975,11000000,198992.0,185.0,"[18, 10749, 10752]",en,14.941,3175,8.012,2440.0
