,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
0,citizen kane,1941,839727,23218000.0,119.0,"[9648, 18]",en,18.681,15,8.019,4851.0
1,vertigo,1958,2479000,7797728.0,128.0,"[9648, 10749, 53]",en,30.818,426,8.191,5053.0
2,2001: a space odyssey,1968,12000000,71923560.0,149.0,"[878, 9648, 12]",en,38.672,62,8.085,10192.0
3,tokyo story,1953,0,0.0,137.0,[18],ja,15.336,18148,8.219,871.0
4,the rules of the game,1939,8847685,0.0,106.0,"[18, 35, 10749]",fr,11.757,776,7.592,479.0
5,the godfather,1972,6000000,245066411.0,175.0,"[18, 80]",en,95.565,238,8.713,17885.0
6,8½,1963,0,0.0,139.0,"[14, 18]",it,13.547,422,8.201,1982.0
7,sunrise,1927,0,0.0,85.0,[18],mr,2.639,328930,6.4,18.0
8,the searchers,1956,3750000,0.0,119.0,[37],en,20.134,3114,7.749,1174.0
9,seven samurai,1954,2000000,346300.0,207.0,"[28, 18]",ja,28.001,346,8.459,3039.0
10,singin' in the rain,1952,2540800,7200000.0,103.0,"[35, 10402, 10749, 18]",en,17.637,872,8.166,2737.0
11,"jeanne dielman, 23 quai du commerce, 1080 bruxelles",1975,120000,0.0,202.0,[18],fr,12.722,44012,7.4,214.0
12,apocalypse now,1979,31500000,150000000.0,147.0,"[18, 10752]",en,26.448,28,8.282,7201.0
13,bicycle thieves,1948,133000,436655.0,89.0,[18],it,13.794,5156,8.235,2057.0
14,taxi driver,1976,1300000,28570902.0,114.0,"[80, 18]",en,40.347,103,8.166,10609.0
15,persona,1966,0,0.0,83.0,[18],sv,15.635,797,8.251,1822.0
16,the passion of joan of arc,1928,0,0.0,82.0,"[18, 36]",fr,12.843,780,8.1,777.0
17,breathless,1960,7500000,19910002.0,100.0,"[10749, 18, 28]",en,11.433,1058,5.862,207.0
18,in the mood for love,2000,150000,12854953.0,99.0,"[18, 10749]",cn,28.532,843,8.116,2194.0
19,battleship potemkin,1925,0,45100.0,75.0,"[18, 36]",ru,13.219,643,7.636,997.0
20,l'atalante,1934,0,0.0,89.0,"[10749, 18, 35]",fr,9.379,43904,7.518,353.0
21,the man with a movie camera,1929,0,0.0,68.0,[99],ru,10.625,26317,7.9,605.0
22,rashomon,1950,0,0.0,72.0,"[18, 10749]",ja,77.067,105905,6.7,3.0
23,city lights,1931,1500000,4250000.0,87.0,"[35, 10749, 18]",en,14.52,901,8.337,1860.0
24,psycho,1960,806947,0.0,109.0,"[27, 18, 53]",en,36.934,539,8.444,8943.0
